province,city,name,level,price,score,comments,addr
黑龙江,哈尔滨,兆麟公园,0,0.0,4.3,323.0,哈尔滨市道里区森林街39号
黑龙江,哈尔滨,731部队罪证遗址,4,0.0,4.5,255.0,哈尔滨市平房区新疆大街47号(近青年大街)
黑龙江,哈尔滨,黑龙江省博物馆,0,50.0,4.2,313.0,南岗区红军街64号
黑龙江,哈尔滨,哈尔滨文化公园,4,0.0,4.5,350.0,哈尔滨市南岗区南通大街208号
黑龙江,哈尔滨,凤凰山国家森林公园,4,0.0,4.6,126.0,哈尔滨市五常市山河屯重点国有林管理局凤凰山景区
黑龙江,哈尔滨,北方森林动物园,4,0.0,4.4,538.0,哈尔滨市阿城区哈牡高速46公里处
黑龙江,哈尔滨,哈尔滨融创乐园,4,80.0,4.3,907.0,哈尔滨市松北区世茂大道99-1
黑龙江,哈尔滨,金龙山国家森林公园,4,0.0,4.5,225.0,哈尔滨市阿城区金龙山镇
黑龙江,哈尔滨,黑龙江省科技馆,4,0.0,4.6,116.0,哈尔滨市松北区太阳大道1458号
黑龙江,哈尔滨,松花江铁路桥,0,0.0,4.4,213.0,哈尔滨市道里区松花江畔斯大林公园东侧
黑龙江,哈尔滨,北大荒现代农业园,4,0.0,4.4,223.0,哈尔滨市香坊区香福路146号
黑龙江,哈尔滨,宾县英杰温泉,4,68.0,4.6,368.0,哈尔滨市宾县英杰温泉小镇（英杰风景区）
黑龙江,哈尔滨,呼兰河口湿地风景区,4,0.0,4.4,242.0,哈尔滨市呼兰区腰堡街道东岗村
黑龙江,哈尔滨,冰灯游园会,0,0.0,4.4,237.0,哈尔滨市道里区森林街377号兆麟公园
黑龙江,哈尔滨,儿童公园,0,0.0,4.5,151.0,哈尔滨市南岗区果戈里大街295号(近花园街)
黑龙江,哈尔滨,刘老根大舞台,0,130.0,4.3,364.0,哈尔滨市南岗区中山路248号
黑龙江,哈尔滨,极乐寺,0,0.0,4.4,204.0,哈尔滨市南岗区东大直街9号
黑龙江,哈尔滨,帽儿山,0,0.0,4.2,155.0,哈尔滨市尚志市帽儿山镇
黑龙江,哈尔滨,黑龙江省森林植物园,0,0.0,4.5,383.0,哈尔滨市香坊区哈平路105号
黑龙江,哈尔滨,平山神鹿旅游区,4,0.0,4.2,164.0,哈尔滨市阿城区平山镇
黑龙江,哈尔滨,圣阿列克谢耶夫教堂,0,0.0,4.5,167.0,哈尔滨市南岗区士课街47号
黑龙江,哈尔滨,哈尔滨文庙,0,0.0,4.4,141.0,哈尔滨市南岗区文庙街25号
黑龙江,哈尔滨,二龙山旅游风景区,4,0.0,4.3,98.0,哈尔滨市宾县同哈公路二龙山风景区
黑龙江,哈尔滨,哈尔滨冰雪乐园,0,0.0,4.4,182.0,哈尔滨市道里区九站公园内（经纬街江面）
黑龙江,哈尔滨,香炉山,0,40.0,4.5,223.0,哈尔滨市宾县的南端，小兴安岭的余脉
黑龙江,哈尔滨,名都滑雪场,0,69.0,4.5,373.0,哈尔滨市动力区哈平路215号
黑龙江,哈尔滨,萧红故居,0,0.0,4.5,123.0,哈尔滨市呼兰区造纸路二道街204号
黑龙江,牡丹江,中国雪乡,4,120.0,4.4,1061.0,牡丹江市海林市大海林林业局双峰林场
黑龙江,牡丹江,镜泊湖风景区,5,100.0,4.3,1414.0,牡丹江市宁安市
黑龙江,牡丹江,羊草山,0,218.0,4.5,129.0,牡丹江雪乡风景区6公里处
黑龙江,牡丹江,梦幻家园,0,0.0,4.0,144.0,牡丹江市大海林林业局双峰林场
黑龙江,牡丹江,雪乡大雪谷,0,168.0,4.5,122.0,牡丹江市海林市大海林林业局雪乡景区亚雪公路75公里处
黑龙江,牡丹江,绥芬河国门景区,0,44.0,4.3,175.0,牡丹江市绥芬河市乌苏里大街北侧
黑龙江,牡丹江,吊水楼瀑布,0,0.0,4.5,186.0,牡丹江市宁安市镜泊湖景区内，镜泊湖最北端
黑龙江,牡丹江,横道河子东北虎林园,4,43.0,4.6,83.0,牡丹江市海林市横道河子镇东301国道210公里处的路旁
黑龙江,牡丹江,柴河小九寨,4,0.0,4.5,145.0,牡丹江市海林市玉泉镇威虎山国家森林公园内
黑龙江,牡丹江,威虎山城影视城,4,38.0,4.3,53.0,牡丹江市海林市绥满公路横道河镇
黑龙江,牡丹江,八女群雕,0,0.0,4.6,223.0,牡丹江市东安区太平路
黑龙江,牡丹江,东宁要塞,4,0.0,4.5,94.0,牡丹江市东宁县三盆口镇境内
黑龙江,牡丹江,三道关国家森林公园,4,25.0,4.4,58.0,牡丹江市爱民区西北部、张广才岭安纺山脉之末
黑龙江,牡丹江,亿龙水上风情园,4,0.0,4.7,35.0,牡丹江市海林市海长公路36公里处牡丹江亿龙水上风情园
黑龙江,牡丹江,杨子荣烈士陵园,0,0.0,4.5,44.0,牡丹江市海林市霞蔚路
黑龙江,牡丹江,火山口地下森林,0,50.0,4.2,146.0,牡丹江市宁安市火山口旅游公路
黑龙江,牡丹江,黑宝熊乐园,4,0.0,4.4,75.0,牡丹江市爱民区三道关国家级森林公园内
黑龙江,牡丹江,二浪河,0,0.0,4.6,45.0,牡丹江市海林市距中国雪乡43公里，亚布力旅游名镇40公里。
黑龙江,牡丹江,威虎山国家森林公园,0,0.0,4.4,64.0,牡丹江市海林市柴河林业局辖区内
黑龙江,牡丹江,解放军八一雪场,0,0.0,4.8,14.0,牡丹江海林市长汀镇双峰林场3.5公里处
黑龙江,牡丹江,渤海国上京龙泉府宫城遗址,4,0.0,3.9,39.0,牡丹江市宁安市渤沙线
黑龙江,牡丹江,人民公园,0,0.0,4.6,75.0,牡丹江市阳明区东四条路
黑龙江,牡丹江,海浪河欢乐谷,4,0.0,4.4,16.0,海林市新安镇海长公路32公里处
黑龙江,牡丹江,大孤山,0,0.0,4.5,29.0,牡丹江市宁安市镜泊湖景区内
黑龙江,牡丹江,小孤山,0,0.0,4.4,24.0,牡丹江宁安市镜泊湖景区镜泊湖中部，距北湖头六十余华里
黑龙江,牡丹江,北山公园,0,0.0,4.6,67.0,牡丹江市爱民区新华路
黑龙江,牡丹江,亚雪驿站十里画廊,0,0.0,4.5,22.0,大海林林业局辖区长汀镇双峰林场
黑龙江,牡丹江,绥芬河边贸市场,0,0.0,4.2,54.0,牡丹江绥芬河市境内
黑龙江,牡丹江,城墙砬子,0,0.0,4.4,14.0,牡丹江市宁安市镜泊湖中部西岸山顶
黑龙江,牡丹江,珍珠门,0,0.0,4.2,13.0,牡丹江市宁安市镜泊湖风景区内
黑龙江,牡丹江,道士山,0,0.0,4.4,12.0,牡丹江市宁安市镜泊湖的南部
黑龙江,牡丹江,老鸹砬子,0,0.0,4.5,20.0,牡丹江市宁安市镜泊湖景区内
黑龙江,牡丹江,﻿江滨公园,0,0.0,4.8,40.0,牡丹江市东安区太平路133号
黑龙江,牡丹江,兴隆寺,0,0.0,4.4,18.0,牡丹江宁安市渤海镇
黑龙江,牡丹江,镜泊小镇,0,0.0,4.1,34.0,牡丹江市安宁市火山口旅游公路
黑龙江,牡丹江,圆通讲寺,0,0.0,4.5,49.0,牡丹江市爱民区金龙山（北山）脚下
黑龙江,牡丹江,地下森林,0,0.0,4.1,19.0,黑龙江省境内镜泊湖西北约50公里
黑龙江,牡丹江,牡丹峰滑雪场,0,0.0,4.5,12.0,牡丹江市东安区牡丹峰森林公园内
黑龙江,牡丹江,牡丹峰国家森林公园,0,0.0,4.4,41.0,牡丹江市东安区（市区东南约15公里处）
黑龙江,牡丹江,双峰滑雪场,0,0.0,4.3,13.0,牡丹江海林市大海林林业局施业区内
黑龙江,牡丹江,绥芬河博物馆,0,0.0,4.3,22.0,牡丹江市绥芬河市绥芬河镇长江路17号
黑龙江,牡丹江,白石砬子,0,0.0,3.9,9.0,牡丹江市宁安县镜泊湖边，孤山前湖之左岸
黑龙江,牡丹江,东一条路步行街,0,0.0,4.7,23.0,牡丹江市东安区与西安区交界处
黑龙江,牡丹江,熔岩隧道,0,0.0,4.3,11.0,牡丹江市宁安市西、镜泊湖西北约30公里处
黑龙江,牡丹江,雪乡滑雪场,0,158.0,3.8,8.0,海林市大海林林业局辖区长汀镇双峰林场
黑龙江,漠河,北极村,5,0.0,4.5,844.0,大兴安岭地区漠河市
黑龙江,漠河,漠河县城,0,0.0,4.4,309.0,大兴安岭漠河县内
黑龙江,漠河,北红村,0,0.0,4.4,205.0,大兴安岭漠河县北红村
黑龙江,漠河,白桦林,0,0.0,4.5,103.0,大兴安岭地区漠河县
黑龙江,漠河,黑龙江第一湾,0,0.0,4.5,258.0,大兴安岭地区漠河县图强林业局施业区红旗岭段
黑龙江,漠河,九曲十八弯,0,0.0,4.2,121.0,大兴安岭地区漠河县加漠公路485段上
黑龙江,漠河,乌苏里浅滩,0,0.0,4.3,77.0,大兴安岭漠红倒北红村内
黑龙江,漠河,胭脂沟,0,0.0,4.1,77.0,大兴安岭地区漠河县金沟林场
黑龙江,漠河,神州北极广场,0,0.0,4.2,88.0,大兴安岭地区漠河县漠河乡北极村旅游风景区北极村旅游风景区内
黑龙江,漠河,松苑原始森林公园,0,0.0,4.5,100.0,大兴安岭地区漠河县16区
黑龙江,漠河,北陲哨所,0,0.0,4.3,53.0,大兴安岭地区漠河县北极村内
黑龙江,漠河,李金镛祠堂,0,0.0,4.1,57.0,大兴安岭地区漠河县西林吉镇金沟林场
黑龙江,漠河,西山公园,0,0.0,4.4,36.0,大兴安岭地区漠河县城西面
黑龙江,漠河,洛古河村,0,0.0,4.4,36.0,大兴安岭地区漠河县洛古河村
黑龙江,漠河,中国最北邮政局,0,0.0,4.1,90.0,大兴安岭地区漠河县北极村
黑龙江,漠河,大兴安岭五·六火灾纪念馆,0,0.0,4.4,80.0,大兴安岭地区漠河县中华街
黑龙江,漠河,中国最北一家,0,0.0,4.1,48.0,大兴安岭地区漠河县
黑龙江,漠河,北极圣诞村,0,0.0,4.2,47.0,大兴安岭地区漠河县北极村以东22公里处
黑龙江,漠河,林海观音山,0,0.0,4.2,34.0,大兴安岭地区漠河县加漠公路540公里处
黑龙江,漠河,北极圣诞滑雪场,0,0.0,4.7,37.0,大兴安岭地区漠河县北极村（距村子约18公里）
黑龙江,漠河,北望垭口广场,0,0.0,4.5,20.0,大兴安岭地区漠河县北极乡北极村
黑龙江,漠河,圣诞邮局,0,0.0,3.6,7.0,大兴安岭地区漠河县圣诞村旅游景区内
黑龙江,漠河,兴安口岸,0,0.0,4.0,22.0,大兴安岭地区漠河县兴安镇
黑龙江,漠河,北极沙州,0,0.0,4.0,7.0,大兴安岭地区漠河县北极村
黑龙江,漠河,鄂伦春民族博物馆,0,0.0,3.8,6.0,大兴安岭地区漠河县北极村通河路
黑龙江,漠河,飞来松,0,0.0,4.0,1.0,大兴安岭地区漠河县北极村约四、五公里的加漠公路南侧
黑龙江,漠河,神龙湾景区,0,0.0,4.9,9.0,大兴安岭地区漠河县Z042县道
黑龙江,漠河,鄂温克驯鹿园,0,0.0,4.5,4.0,大兴安岭地区漠河市209省道西100米
黑龙江,漠河,中国最北点,0,0.0,4.5,13.0,大兴安岭地区漠河县
黑龙江,漠河,俄罗斯小院,0,0.0,5.0,3.0,北极村俄罗斯小院
黑龙江,漠河,漠河火灾纪念馆,0,0.0,4.7,3.0,林吉镇中华路东侧五·六火灾纪念馆
黑龙江,漠河,漠河黑龙江,0,0.0,4.7,4.0,漠河县段
黑龙江,漠河,五六火灾纪念馆 ,0,0.0,4.7,3.0,黑龙江省漠河县中华路东侧 150000
黑龙江,漠河,古城岛,0,0.0,4.4,5.0,黑龙江省漠河县兴安乡东北约4公里的黑龙江中
黑龙江,漠河,北极观光塔,0,0.0,3.2,5.0,大兴安岭漠河县北极村
黑龙江,漠河,漠河仙人洞,0,0.0,4.0,5.0,黑龙江省漠河县西林吉镇
黑龙江,漠河,阿木尔镇,0,0.0,0.0,0.0,黑龙江省大兴安岭地区漠河市
黑龙江,漠河,北极泉风景区,0,130.0,0.0,0.0,大兴安岭地区漠河县图强镇木石神山
黑龙江,漠河,民族风情园,0,0.0,0.0,0.0,漠河县北极乡北极村内
黑龙江,漠河,野生罂粟园 ,0,0.0,0.0,0.0,黑龙江省漠河县北极村东南部 150000
黑龙江,漠河,七星山,0,0.0,0.0,0.0,北极村牌坊入口
黑龙江,漠河,漠河胭脂沟金矿 ,0,0.0,0.0,0.0,黑龙江省漠河县金沟林场 150000
黑龙江,漠河,漠河县相约户外俱乐部,0,0.0,0.0,0.0,36区振兴街
黑龙江,漠河,古城岛 ,0,0.0,0.0,0.0,黑龙江省漠河县黑龙江 150000
黑龙江,漠河,漠河图书馆,0,0.0,0.0,0.0,中华街030号
黑龙江,伊春,汤旺河石林风景区（汤旺河国家公...,5,0.0,4.6,604.0,伊春市汤旺河区旅游公路以北９公里处
黑龙江,伊春,五营国家森林公园,4,35.0,4.3,447.0,伊春市五营区旅游公路
黑龙江,伊春,茅兰沟国家森林公园,4,0.0,4.4,227.0,伊春市汤旺河区汤旺河国家公园东大门
黑龙江,伊春,悬羊峰,0,0.0,4.0,22.0,伊春铁力市桃山林业局跃进林场悬羊峰景区
黑龙江,伊春,伊春,0,0.0,4.7,147.0,伊春市
黑龙江,伊春,嘉荫恐龙国家地质公园,4,55.0,4.1,116.0,伊春市小兴安岭北部嘉荫县城西9公里处
黑龙江,伊春,回龙湾国家森林公园,4,0.0,4.4,73.0,伊春市美溪区鹤伊公路110公里处
黑龙江,伊春,上甘岭溪水国家森林公园,4,0.0,4.5,87.0,伊春市上甘岭区204省道伊嘉路24公里处上甘岭林业局溪水林场施业区内
黑龙江,伊春,水上公园,3,0.0,4.3,46.0,伊春市伊春区新兴西路南侧
黑龙江,伊春,桃山国家森林公园,4,0.0,4.4,10.0,伊春市铁力市桃山林业局境内
黑龙江,伊春,金山鹿苑,0,0.0,4.5,55.0,伊春市金山屯区东5公里处
黑龙江,伊春,库尔滨雾凇,0,0.0,4.9,30.0,伊春市红星火山地质公园北部7公里处
黑龙江,伊春,中国林都木雕园,0,0.0,4.4,44.0,伊春市伊春区花园路
黑龙江,伊春,梅花河狩猎场,4,0.0,4.8,9.0,伊春市乌马河区伊东经营所
黑龙江,伊春,北山公园,0,0.0,4.6,27.0,伊春市伊春区北郊 1公里处
黑龙江,伊春,兴安森林公园,0,0.0,4.2,32.0,伊春市伊春区南山风景林自然保护区
黑龙江,伊春,九峰山养心谷,4,0.0,4.2,21.0,伊春市金山屯区鹤伊公路72公里处
黑龙江,伊春,小兴安岭植物园,0,0.0,4.5,29.0,伊春市伊春区山河大道
黑龙江,伊春,梅花山滑雪场,0,0.0,4.7,15.0,伊春市乌马河区五马河1栋梅花山庄里
黑龙江,伊春,恐龙博物馆,0,0.0,4.3,46.0,伊春市伊春区环卫路1号（水上公园西侧）
黑龙江,伊春,龙骨山,0,0.0,4.2,12.0,伊春市嘉荫县境内
黑龙江,伊春,南山森林公园,0,0.0,4.6,26.0,伊春市伊春区南部
黑龙江,伊春,太平岛,0,0.0,4.5,11.0,伊春市嘉荫县红光乡太平村
黑龙江,伊春,日月峡水伊方水上乐园,0,0.0,4.6,115.0,伊春市铁力市林业局马永顺林场
黑龙江,伊春,依吉密河漂流,0,0.0,4.3,17.0,黑龙江省伊春市铁力日月峡谷滑雪场内
黑龙江,伊春,梅花山国家森林公园,0,0.0,4.5,8.0,伊春市乌马河区西南13公里处
黑龙江,伊春,新青国家湿地公园,0,0.0,4.5,22.0,伊春市新青区新青林业局东侧和南侧
黑龙江,伊春,仙翁山国家森林公园,0,0.0,4.6,15.0,伊春市林城南岔郊外10公里处
黑龙江,伊春,铁力公园,0,0.0,4.7,30.0,伊春市铁力市建设西大街
黑龙江,伊春,日月峡国家森林公园,0,0.0,4.3,20.0,伊春市铁力市小兴安岭南麓铁力林业局马永顺林场日月峡中
黑龙江,伊春,凉水自然保护区,0,0.0,4.4,17.0,伊春市带岭区北约25公里处
黑龙江,伊春,四块石抗联遗址,0,0.0,4.4,7.0,哈尔滨市近郊丹青河林场
黑龙江,伊春,金山公园,0,0.0,4.7,10.0,伊春市金山屯区花园东街附近
黑龙江,伊春,兴安塔,0,0.0,4.0,10.0,伊春市区南的高山顶上
黑龙江,伊春,红星火山地质公园,0,0.0,4.5,19.0,伊春市红星区红星林业局大平台施业区
黑龙江,伊春,丰林自然保护区,0,0.0,4.0,9.0,伊春市五营区小兴安岭南坡北段
黑龙江,伊春,桃山玉温泉,0,0.0,4.2,50.0,伊春市铁力市桃山林业局桃源湖风景区
黑龙江,伊春,乌伊岭源头湾景区,0,0.0,4.6,16.0,伊春市乌伊岭国家级自然保护区南部实验区
黑龙江,伊春,天赐湖,0,0.0,4.4,9.0,伊春市五营区旅游公路以北17公里处五营国家森林公园内
黑龙江,伊春,滨水公园‎,0,0.0,5.0,2.0,伊春市汤旺河区沿河路
黑龙江,伊春,月牙湖公园,0,0.0,4.4,11.0,伊春市南岔区中心的北山脚下
黑龙江,伊春,峰岩山寨旅游度假区,0,40.0,4.2,13.0,伊春市金山屯区峰岩上寨旅游度假区
黑龙江,伊春,朗乡玉兔仙潭风景区,0,0.0,4.8,6.0,伊春市铁力市朗乡镇朗乡局头道沟林场
黑龙江,伊春,东升岛旅游度假村,0,0.0,5.0,1.0,伊春市伊春区
黑龙江,伊春,茅兰瀑布,0,0.0,4.7,11.0,伊春市嘉荫县向阳乡茅兰沟国家森林公园内
黑龙江,黑河,五大连池风景区,5,0.0,4.6,457.0,黑河市五大连池市五大连池镇
黑龙江,黑河,老黑山,0,0.0,4.6,286.0,黑河市五大连池市区北10公里
黑龙江,黑河,北药泉,0,0.0,4.4,102.0,黑河五大连池市五大连池镇药泉西路
黑龙江,黑河,火烧山,0,0.0,4.4,66.0,黑河市五大连池市老黑山东北2公里处
黑龙江,黑河,药泉山,0,0.0,4.5,48.0,黑河五大连池市五大连池镇二龙泉路
黑龙江,黑河,龙门石寨,0,0.0,4.2,32.0,黑河市五大连池市五大连池镇东部
黑龙江,黑河,南药泉,0,0.0,4.1,37.0,黑河五大连池市五大连池镇药泉西路
黑龙江,黑河,二龙泉,0,0.0,4.4,46.0,黑河五大连池市五大连池镇二龙泉路
黑龙江,黑河,瑷珲古城,0,0.0,4.5,83.0,黑河市爱辉区瑷珲镇
黑龙江,黑河,大黑河岛,0,0.0,4.5,82.0,黑龙江的中部，距离黑河市区70公里
黑龙江,黑河,锦河大峡谷,0,45.0,4.2,115.0,黑河市锦河农场
黑龙江,黑河,温泊,0,0.0,4.4,57.0,黑河市五大连池市五大连池镇五大连池风景区内
黑龙江,黑河,白龙洞,0,0.0,4.4,17.0,黑河市五大连池市五大连池镇东8公里处
黑龙江,黑河,天池,0,0.0,4.3,12.0,黑河市五大连池市五大连池镇五大连池风景区内
黑龙江,黑河,中俄民族风情园,0,0.0,4.6,48.0,黑河市环城东路1号
黑龙江,黑河,水晶宫,0,0.0,4.2,18.0,黑河市五大连池市五大连池镇五大连池风景区内
黑龙江,黑河,《闯关东》朱家大院,0,0.0,4.0,29.0,黑河市爱辉区锦河农场
黑龙江,黑河,逊克大平台雾凇风景区,0,0.0,4.9,25.0,黑龙江省黑河市逊克县东南部山区克林乡
黑龙江,黑河,白龙湖(三池),0,0.0,4.8,20.0,黑河市五大连池市五大连池镇五大连池景区
黑龙江,黑河,五大连池山口湖,0,0.0,4.3,24.0,黑龙江省黑河市五大连池市二龙山火车站东20公里
黑龙江,黑河,龙珠远东国际滑雪场,0,0.0,4.7,7.0,黑河市西北约15公里处的卧牛湖风景名胜区
黑龙江,黑河,胜山狩猎场,0,0.0,4.8,4.0,黑河市爱辉区，距黑河市区124公里
黑龙江,黑河,知青影视基地,0,0.0,4.4,14.0,黑河市爱辉区锦河农场
黑龙江,黑河,嫩江高峰森林公园,0,0.0,4.5,36.0,黑龙江省黑河市嫩江县高峰林场施业区内
黑龙江,黑河,胜山要塞国家森林公园,0,0.0,4.2,13.0,黑河市孙吴县满达乡境内
黑龙江,黑河,五大连池世界地质公园博物馆,0,0.0,4.1,16.0,五大连池市石龙北路
黑龙江,黑河,中华人民共和国黑河口岸,0,0.0,4.5,10.0,黑河市爱辉区大黑河岛
黑龙江,黑河,库尔滨河漂流,0,0.0,4.7,7.0,黑河市逊克县库尔滨大桥
黑龙江,黑河,五道豁洛度假区,0,0.0,4.1,8.0,黑河市爱辉区
黑龙江,黑河,北安博物馆,0,0.0,4.5,2.0,黑河市北安市交通路179号
黑龙江,黑河,黑龙江公园,0,0.0,4.8,10.0,黑河市爱辉区王肃街9号
黑龙江,黑河,药泉山钟灵禅寺,0,0.0,4.7,14.0,黑龙江省五大连池市五大连池风景区内 161100
黑龙江,黑河,鄂伦春民俗旅游区,0,0.0,5.0,7.0,黑河市爱辉区新生鄂伦春民族乡
黑龙江,黑河,石海,0,0.0,4.9,7.0,五大连池市老黑山东北侧
黑龙江,黑河,庆华军工遗址博物馆,0,0.0,4.5,6.0,黑河市北安市庆华路
黑龙江,黑河,墨尔根古道驿站博物馆,0,0.0,4.3,3.0,清江路
黑龙江,黑河,五大连池风景区火山磁矿泉,0,0.0,4.6,5.0,黑河市五大连池风景区三池湖畔温泉国际商务酒店
黑龙江,黑河,五大连池漂流,0,0.0,5.0,3.0,黑河五大连池市五大连池镇五大连池风景区矿泉西路石龙河桥北
黑龙江,黑河,黑龙江省委省政府办公旧址陈列馆,0,0.0,4.5,2.0,黑河市北安市交通路
黑龙江,黑河,淘金古驿站,0,0.0,4.2,5.0,黑河市锦河农场
黑龙江,黑河,大沾河国家森林公园,0,0.0,4.3,12.0,五大连池市沾河林业局辖区内
黑龙江,黑河,库尔滨河,0,0.0,5.0,2.0,黑龙江省逊克县新兴乡
黑龙江,黑河,水电站风光,0,0.0,3.3,3.0,库尔滨水电站距逊克160多公里
黑龙江,黑河,药泉湖,0,0.0,4.8,4.0,五大连池市五大连池风景区
黑龙江,黑河,逊克农场石景山庄旅游度假区,0,0.0,4.8,9.0,黑龙江省黑河逊克县逊克农场
吉林,长白山,长白山天池,0,0.0,4.7,1909.0,延边朝鲜族自治州安图县长白山主峰火山锥体顶部
吉林,长白山,长白瀑布,0,0.0,4.4,356.0,白山市延边安图县长白山北坡距天池1250米的地方
吉林,长白山,长白山北坡景区,0,0.0,4.6,573.0,白山市长白山风景区白河镇长白山风景区内(池北区二道白河镇南部约36公里处)）
吉林,长白山,小天池,0,0.0,4.1,150.0,长白山市长白山国家级自然保护区北坡景区内
吉林,长白山,长白山西坡景区,0,220.0,4.6,480.0,白山市抚松县松江河镇
吉林,长白山,绿渊潭,0,0.0,4.4,189.0,长白山国家级自然保护区北坡景区内，近蓝景快餐厅
吉林,长白山,锦江大峡谷,0,0.0,4.4,168.0,长白山国家级自然保护区西景区内（靠近聚龙泉和温泉广场）
吉林,长白山,谷底林海,0,0.0,4.4,143.0,长白山国家级自然保护区北坡景区内，邻近绿渊潭
吉林,长白山,二道白河,0,0.0,4.6,146.0,延边朝鲜族自治州安图县
吉林,长白山,望天鹅风景区,0,0.0,4.5,209.0,白山市长白县十五道沟
吉林,长白山,万达长白山国际滑雪场,0,398.0,4.6,328.0,白山市抚松县松江河镇万达长白山国际旅游度假区内
吉林,长白山,王池,0,0.0,4.4,64.0,长白山国家级自然保护区西坡景区内
吉林,长白山,美人松苑,0,0.0,4.4,106.0,延边朝鲜族自治州安图县池北大街与通场路交汇处
吉林,长白山,聚龙泉,0,0.0,4.4,98.0,长白山国家级自然保护区北坡景区内温泉广场，近长白瀑布
吉林,长白山,高山花园,0,0.0,4.2,55.0,延边朝鲜族自治州安图县长白山国家级自然保护区西坡景区内
吉林,长白山,魔界风景区,0,78.0,4.4,274.0,白山市长白山风景区长白山松江和二道白河中间
吉林,长白山,长白山南坡景区,0,0.0,4.7,83.0,白山市长白朝鲜族自治县长白山国家级自然保护区池南区，长白县北部约60公里处
吉林,长白山,鸭绿江大峡谷,0,0.0,4.3,41.0,白山市长白朝鲜族自治县长白山南景区内
吉林,长白山,长白山自然博物馆,0,0.0,4.2,75.0,长白山市延边朝鲜族自治州安图县
吉林,长白山,峡谷浮石林,0,0.0,3.8,60.0,长白山国家级自然保护区池北区，长白山山门东南6公里处
吉林,长白山,鸭绿江,0,0.0,4.4,61.0,白山市长白山国家级自然保护区南坡景区
吉林,长白山,汉拿山温泉,0,199.0,4.4,464.0,长白山市抚松县松江河镇万达长白山国际旅游度假区内
吉林,长白山,白云峰,0,0.0,4.6,22.0,长白山国家级自然保护区西坡景区内
吉林,长白山,梯子河,0,0.0,3.8,30.0,长白山国家级自然保护区西坡景区内
吉林,长白山,《天地长白》演出,0,80.0,4.6,301.0,长白山池西区万达长白山旅游度假区，长白山大剧院内
吉林,长白山,长白山蓝景温泉会馆,0,0.0,4.6,186.0,长白山池北区山门旁边长白山蓝泉温泉酒店内
吉林,长白山,冰水泉,0,0.0,3.9,25.0,长白山国家级自然保护区池北区三道白河河谷中
吉林,长白山,长白山天池汤泉,0,198.0,4.8,166.0,长白山保护开发区池北区长白山北景区老山门400米处
吉林,长白山,松桦恋,0,0.0,4.6,20.0,长白山国家级自然保护区西坡景区，锦江大峡谷景点内
吉林,长白山,天文峰,0,0.0,4.1,21.0,长白山国家级自然保护区北坡景区
吉林,长白山,乘槎河,0,0.0,4.4,30.0,长白山国家级自然保护区北坡景区内，长白山天池北侧龙门峰与天豁峰之间
吉林,长白山,大戏台河风景区,0,0.0,4.4,41.0,长白山市长白山景区北景区山门8公里处
吉林,长白山,奶头河,0,0.0,4.3,9.0,长白山国家级自然保护区池北区
吉林,长白山,长白山火山群,0,0.0,4.3,33.0,长白山国家级自然保护区南坡景区内
吉林,长白山,黑风口,0,0.0,4.3,22.0,长白山国家级自然保护区北坡景区内
吉林,长白山,锦江木屋村,0,0.0,4.4,70.0,白山市抚松县漫江镇西北约5公里处
